hero,win_rate,pick_rate,ban_rate,z_score
Phoveus,49.91,0.05,0.15,-0.29291622160671643
Tigreal,49.89,1.74,61.35,0.9551791985437791
Hilda,49.87,0.61,1.45,-0.09399576878503851
Nana,49.84,2.53,52.26,1.1287112092104947
Hanabi,49.75,2.76,4.26,0.6857177300775253
Freya,49.74,0.48,1.4,-0.169062718263086
Johnson,49.73,1.32,7.11,0.19513140928337025
Esmeralda,49.73,1.55,25.41,0.47788325603701604
Aldous,49.68,0.8,1.34,-0.06577450120232421
Khufra,49.67,0.26,0.77,-0.27256174043797965
Chang'e,49.67,1.87,3.1,0.34505876469180324
Irithel,49.59,0.37,0.14,-0.25775227385924016
Cyclops,49.52,0.69,0.26,-0.15061678904328354
Novaria,49.42,0.61,2.86,-0.17404982005990152
Lunox,49.4,0.21,0.39,-0.36260086849397655
Hanzo,49.33,0.26,4.02,-0.3205317482865148
Aurora,49.31,0.57,3.79,-0.20331942894612642
Clint,49.3,0.59,0.27,-0.23578434762303746
Valir,49.21,1.1,6.76,0.025566044165697903
Xavier,49.14,0.51,0.31,-0.30303220042698104
Brody,48.99,0.44,0.51,-0.36435098892964685
Dyrroth,48.94,2.68,7.29,0.6773254728760334
Kagura,48.85,0.3,0.26,-0.4614172823376983
Eudora,48.82,1.13,2.65,-0.07033330006504196
Yu Zhong,48.74,0.91,1.48,-0.19644757271471144
Fredrinn,48.56,0.67,15.19,-0.1936304926825488
Granger,48.52,0.74,0.49,-0.3287147504715874
Akai,48.52,0.41,0.68,-0.4840560066100934
Cecilion,48.52,0.78,0.29,-0.3118143634054651
Harith,48.49,0.75,54.26,0.2561510124735268
Kadita,48.29,0.31,0.41,-0.5900206903076034
Cici,48.13,0.6,5.18,-0.42744707095825135
Gusion,48.13,0.96,1.57,-0.28174382102356016
Martis,48.06,1.12,12.54,-0.09138803625869628
Pharsa,48.06,0.7,0.35,-0.4429336229793539
Yve,48.04,0.04,0.22,-0.7933174689808301
Karina,47.78,0.84,11.01,-0.3071128765577512
Leomord,47.76,0.11,0.08,-0.8309268282222821
Zilong,47.76,1.38,0.76,-0.12609451655952633
Kimmy,47.43,0.13,0.11,-0.9046293558948103
Claude,47.43,1.06,1.21,-0.3527976037076177
Bruno,47.36,0.48,0.21,-0.7160801747178844
Mathilda,47.26,0.19,10.96,-0.7943688544464669
Selena,47.17,0.79,2.85,-0.542341372778431
Faramis,46.95,0.1,1.2,-1.035184825577382
Lapu-Lapu,46.56,0.21,0.09,-1.075926331571245
Kaja,46.54,0.05,0.12,-1.1869933210589136
Franco,46.49,2.23,10.18,0.3693532676620009
Alice,46.42,0.08,0.24,-1.197219798749938
Guinevere,46.35,0.54,0.78,-0.8955212770586325
Lesley,46.32,1.84,2.13,0.004228683096610619
Jawhead,45.97,0.48,0.45,-1.0253658565944943
Arlott,45.97,0.27,0.83,-1.1722283092058579
Hayabusa,45.77,0.46,0.9,-1.0801001201581448
Karrie,45.76,0.75,0.47,-0.872739112841675
Grock,45.56,0.08,0.09,-1.424484278055381
Paquito,45.43,0.51,0.71,-1.1205925708659057
Joy,45.19,0.07,0.96,-1.5200061250736079
Beatrix,45.07,0.35,0.14,-1.3352804200944934
Balmond,44.69,0.95,0.54,-0.9165343306461936
Nolan,43.86,0.33,5.22,-1.584742164661734
Lancelot,43.47,0.98,1.41,-1.0976851658250344
Chou,43.17,0.9,1.56,-1.227917072354396
Fanny,42.6,0.53,6.67,-1.6618163549530736
Wanwan,41.58,0.16,0.31,-2.3754156969660665
Valentina,39.77,0.24,0.66,-2.7281185034433144
