hero,win_rate,pick_rate,ban_rate,z_score
Ixia,51.15,0.57,1.1,0.14555558328611312
Roger,51.0,2.37,28.83,0.911231299969009
Yin,50.91,1.16,39.97,0.6462413360239899
Luo Yi,50.91,0.99,4.82,0.2555951915769715
Estes,50.91,0.68,41.95,0.5182033916718355
Hilda,50.84,0.46,1.17,0.041207261045382845
Alpha,50.77,1.99,2.4,0.5302716817090263
Helcurt,50.67,0.91,47.87,0.600768137084715
Natalia,50.64,0.32,1.74,-0.04864417346476865
Aldous,50.62,0.65,0.76,0.04914459802936157
Dyrroth,50.6,2.06,4.67,0.5658220114765152
Ruby,50.59,0.83,3.06,0.12668290517364628
Faramis,50.53,0.31,1.61,-0.08161375282424421
Xavier,50.39,0.7,0.17,0.011753161865926941
Esmeralda,50.39,1.57,7.26,0.3997103657972188
Miya,50.38,1.32,0.9,0.2452031461544336
Aamon,50.32,0.37,0.42,-0.12463295883908462
Lylia,50.25,0.89,0.84,0.06147440748826167
X.Borg,50.23,1.33,8.2,0.2984953051485774
Minsitthar,50.15,0.61,2.83,-0.04908013448046934
Thamuz,50.08,0.6,0.64,-0.08978101509444794
Eudora,50.08,0.71,1.06,-0.041320053047128644
Bane,50.07,0.35,0.14,-0.19807076038794874
Cyclops,49.91,0.62,0.16,-0.12394260705089344
Badang,49.9,0.27,0.07,-0.27573062412409005
Novaria,49.82,1.14,2.96,0.10892751260703915
Gord,49.77,0.57,0.15,-0.1770213359918912
Yu Zhong,49.69,1.29,1.03,0.136925242741942
Aurora,49.62,0.48,5.4,-0.201718050006207
Clint,49.51,0.75,0.21,-0.15078639491036605
Irithel,49.47,0.38,0.07,-0.3362336997556828
Brody,49.42,0.87,0.55,-0.10831493049954563
Mathilda,49.21,0.58,45.41,0.13676784685775376
Layla,49.08,1.63,2.05,0.2368392129283048
Johnson,49.04,0.9,3.18,-0.14015447250059135
Julian,48.94,0.4,0.35,-0.4549679811292773
Lunox,48.9,0.44,0.39,-0.44278013107654934
Akai,48.87,0.52,0.74,-0.4030293577237861
Valir,48.81,0.98,5.48,-0.11712859925772294
Cici,48.8,0.67,7.23,-0.2737542144040677
Tigreal,48.8,1.68,69.47,0.8850843773046875
Khufra,48.76,0.6,1.37,-0.3779073790893396
Hanabi,48.69,1.62,2.33,0.1937559662552859
Nana,48.68,2.27,43.35,0.9569372246027914
Hanzo,48.67,0.22,1.61,-0.6119703755344844
Granger,48.6,0.72,0.31,-0.3546190607234241
Martis,48.6,1.23,10.61,0.03900058824259961
Yve,48.57,0.07,0.07,-0.740738516580178
Atlas,48.54,0.75,5.53,-0.29938547600195814
Chang'e,48.45,0.97,0.53,-0.23521281485199813
Bruno,48.45,0.74,0.15,-0.3756930681639356
Leomord,48.33,0.14,0.05,-0.7668825408827658
Alice,48.3,0.11,0.29,-0.7912706221980321
Baxia,48.28,0.17,0.24,-0.7604851283277327
Arlott,48.25,0.67,2.21,-0.4405727828295282
Kagura,48.23,0.41,0.14,-0.6261900397995434
Cecilion,48.2,0.61,0.13,-0.5088268349858461
Kadita,48.13,0.42,0.23,-0.6435871998103585
Pharsa,48.11,0.46,0.14,-0.6239589358252662
Chip,48.02,0.19,16.05,-0.6665501407593366
Zilong,47.85,0.82,0.47,-0.4437088744359479
Claude,47.68,1.87,1.48,0.2517888085951818
Karina,47.54,0.81,7.28,-0.44645616147478023
Kaja,46.67,0.12,0.14,-1.2427891708115193
Franco,46.48,2.02,9.37,0.3619938395291193
Grock,46.33,0.24,0.11,-1.2370272440266843
Lesley,46.21,1.46,0.83,-0.21587024091877233
Jawhead,46.02,0.42,0.28,-1.1594355752281564
Hayabusa,46.02,0.58,0.64,-1.0152083629222224
Lapu-Lapu,45.83,0.36,0.06,-1.262170085389163
Selena,45.71,0.97,2.1,-0.7139147338179228
Nolan,45.65,0.73,11.73,-0.8535277693213834
Guinevere,45.64,0.5,0.5,-1.1763611317425997
Kimmy,45.58,0.18,0.07,-1.4926486190176307
Paquito,45.57,1.0,1.24,-0.7194544864169949
Gusion,45.4,0.68,0.44,-1.061979415571947
Joy,45.34,0.1,1.7,-1.6191889805132242
Karrie,44.89,0.93,0.91,-0.9136516324367625
Beatrix,44.82,0.42,0.08,-1.4550092280214206
Fanny,44.22,0.74,11.47,-1.1430842174743905
Balmond,44.11,0.52,0.26,-1.5166503125665514
Lancelot,42.83,1.08,1.17,-1.1040173044190653
Valentina,42.72,0.45,0.56,-1.9262703820970937
Chou,42.64,0.93,1.23,-1.3266324478509666
Wanwan,41.73,0.15,0.23,-2.583030845011244
