hero,win_rate,pick_rate,ban_rate,z_score
Granger,48.48,0.82,0.55,-0.3010905216007634
Cecilion,48.33,0.77,0.26,-0.358513618597068
Kadita,48.2,0.32,0.37,-0.6170117194183005
Gusion,48.18,0.9,1.36,-0.3083675019833557
Pharsa,48.12,0.66,0.31,-0.45752146941255306
Cici,48.12,0.61,5.43,-0.428380756852395
Martis,48.09,1.13,13.04,-0.07627337007008389
Zilong,47.79,1.37,0.74,-0.12408567972093831
Leomord,47.77,0.11,0.07,-0.8420186496654243
Karina,47.73,0.89,11.77,-0.2843486005421165
Claude,47.57,1.08,1.16,-0.318731432565698
Yve,47.5,0.05,0.34,-0.9450453123238975
Mathilda,47.42,0.22,12.78,-0.7302392112858469
Kimmy,47.41,0.14,0.11,-0.9179094329719405
Selena,47.12,0.84,2.87,-0.5255384760443391
Bruno,47.05,0.57,0.22,-0.7382208090728916
Faramis,46.96,0.12,1.24,-1.0349384294382906
Kaja,46.75,0.05,0.12,-1.1481157665940687
Lapu-Lapu,46.51,0.23,0.08,-1.0895956243523746
Alice,46.47,0.08,0.23,-1.2011994316072483
Franco,46.42,2.18,9.81,0.34486004752874344
Lesley,46.36,1.8,1.89,-0.010242186652330454
Guinevere,46.3,0.56,0.78,-0.9019669936720369
Arlott,46.06,0.28,0.88,-1.1570537931018028
Jawhead,45.7,0.5,0.46,-1.082021081258738
Karrie,45.69,0.77,0.49,-0.8776524151380851
Grock,45.67,0.09,0.09,-1.4067886582555915
Hayabusa,45.59,0.49,0.88,-1.109824993519021
Joy,45.56,0.07,0.99,-1.4415663700727617
Paquito,45.46,0.52,0.74,-1.1169773793492936
Beatrix,45.01,0.34,0.12,-1.3729720933170635
Balmond,44.55,0.95,0.53,-0.9450008547927038
Nolan,44.24,0.33,5.57,-1.5072416446224222
Lancelot,43.78,0.82,1.26,-1.1992112018696959
Chou,43.09,0.91,1.51,-1.2379744605793213
Fanny,42.72,0.53,6.57,-1.6512003100828954
Wanwan,41.62,0.16,0.3,-2.3912834608301274
Valentina,39.88,0.24,0.63,-2.7283828320332395
