hero,win_rate,pick_rate,ban_rate,z_score
Saber,49.32,1.17,39.14,0.4825776585328591
Fredrinn,49.3,0.38,1.86,-0.47466613589399737
Aldous,49.26,0.73,1.35,-0.3109483946907405
Akai,49.12,0.35,0.35,-0.5593756551547775
Novaria,48.97,0.44,0.86,-0.5415020240151394
Uranus,48.93,0.3,0.4,-0.6361590153220907
Tigreal,48.76,2.37,47.91,1.2070424955582792
Hanabi,48.75,2.14,2.53,0.40748363352228406
Thamuz,48.74,0.73,1.32,-0.4251222589758091
Kimmy,48.42,0.26,0.15,-0.8007142979688079
Granger,48.36,0.56,0.24,-0.6295740584087189
Johnson,48.34,1.16,4.76,-0.19431599222530033
Estes,48.33,0.72,50.27,0.19807819830981338
Eudora,48.33,1.06,2.93,-0.2852833038719572
Wanwan,48.29,0.26,0.66,-0.8285623340710131
Arlott,48.21,0.34,0.47,-0.8021105362028834
Selena,48.06,0.69,1.01,-0.6045780866798519
Grock,47.99,0.14,0.07,-0.9982552693464345
Lesley,47.94,2.07,2.21,0.30797625397013306
Beatrix,47.93,0.66,0.38,-0.662925563863974
Nana,47.72,2.38,31.95,0.9448487046778745
Gusion,47.67,0.99,0.96,-0.4828467067356276
Kadita,47.65,0.4,0.19,-0.9113532807256489
Guinevere,47.63,0.41,0.36,-0.9069467714351781
Cici,47.51,0.38,1.93,-0.9359648469344586
Zilong,47.51,1.34,0.71,-0.2660302138240036
Dyrroth,47.49,2.36,2.46,0.4898379829035381
Lapu-Lapu,47.48,0.26,0.09,-1.057133482278152
Claude,47.45,1.25,0.45,-0.34393249582677826
Leomord,47.35,0.43,0.34,-0.9639182220604395
Pharsa,47.26,0.55,0.34,-0.8972814990916437
Martis,47.02,0.91,3.82,-0.6256457754033867
Jawhead,46.84,0.78,0.67,-0.8106217496913064
Hanzo,46.82,0.31,3.79,-1.1424718195774513
Chou,46.68,1.46,1.15,-0.28662582510128093
Franco,46.46,2.01,8.12,0.24517428024257798
Karrie,46.35,0.59,0.32,-1.0812190533598776
Paquito,45.92,0.5,0.26,-1.263617703861195
Karina,45.52,0.77,7.33,-1.003442282579112
Nolan,45.5,0.37,2.76,-1.4523582807375157
Esmeralda,45.08,0.84,3.65,-1.0823652435433966
Valentina,44.59,0.34,0.57,-1.7519958138189873
Lancelot,44.3,1.01,1.33,-1.0938516308565687
Balmond,44.12,0.66,0.48,-1.524919526542769
Fanny,44.09,0.67,6.87,-1.4268131540570592
